"filename", "language", "Markdown", "Python", "Shell Script", "XML", "Batch", "QMake", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\HTTco\Desktop\MSL2-Python\.idea\MSL2-Python.iml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\HTTco\Desktop\MSL2-Python\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 31
"c:\Users\HTTco\Desktop\MSL2-Python\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\HTTco\Desktop\MSL2-Python\.idea\misc.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\HTTco\Desktop\MSL2-Python\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\HTTco\Desktop\MSL2-Python\.idea\vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\download.py", "Python", 0, 241, 0, 0, 0, 0, 0, 0, 10, 35, 286
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\kfq.py", "Python", 0, 304, 0, 0, 0, 0, 0, 0, 10, 104, 418
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\license.py", "Python", 0, 2747, 0, 0, 0, 0, 0, 0, 10, 22, 2779
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\output.py", "Python", 0, 26, 0, 0, 0, 0, 0, 0, 10, 10, 46
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\output1.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 10, 10, 39
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\setting.py", "Python", 0, 170, 0, 0, 0, 0, 0, 0, 10, 13, 193
"c:\Users\HTTco\Desktop\MSL2-Python\.qt_for_python\uic\start_options.py", "Python", 0, 62, 0, 0, 0, 0, 0, 0, 10, 8, 80
"c:\Users\HTTco\Desktop\MSL2-Python\MSL2-Python Document.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 0, 0, 51, 105
"c:\Users\HTTco\Desktop\MSL2-Python\README.md", "Markdown", 16, 0, 0, 0, 0, 0, 0, 0, 0, 12, 28
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\Help.ui", "XML", 0, 0, 0, 149, 0, 0, 0, 0, 0, 1, 150
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\Output.py", "Python", 0, 36, 0, 0, 0, 0, 0, 0, 0, 7, 43
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\RAM.py", "Python", 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\cmdl_get_server.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 1, 4, 87
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\create_config.py", "Python", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\downjava.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\download.py", "Python", 0, 66, 0, 0, 0, 0, 0, 0, 52, 15, 133
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\download.ui", "XML", 0, 0, 0, 556, 0, 0, 0, 0, 0, 1, 557
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\download_server.py", "Python", 0, 154, 0, 0, 0, 0, 0, 0, 0, 7, 161
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\download_server_support.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\frp.py", "Python", 0, 69, 0, 0, 0, 0, 0, 0, 0, 10, 79
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\frp.ui", "XML", 0, 0, 0, 181, 0, 0, 0, 0, 0, 1, 182
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\frp_support.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\license.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 25
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\license.ui", "XML", 0, 0, 0, 2540, 0, 0, 0, 0, 0, 1, 2541
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\mslhelp.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\HTTco\Desktop\MSL2-Python\SupportLib\setting.py", "Python", 0, 80, 0, 0, 0, 0, 0, 0, 0, 14, 94
